K,precision_media,recall_media,f1_media
5,0.08,0.30999999999999994,0.11987207237207237
10,0.08399999999999999,0.3668571428571429,0.1279387442622737
15,0.08,0.281,0.11419314019314021
20,0.094,0.3289047619047619,0.13616799213858038
25,0.10800000000000001,0.3712253302253302,0.1495542188551342
30,0.11199999999999999,0.40240909090909094,0.16015350731140207
35,0.11199999999999999,0.36142857142857143,0.1600636618283677
40,0.10400000000000001,0.4396666666666667,0.15873826173826175
45,0.092,0.3644523809523809,0.1282809967809968
50,0.086,0.40652380952380945,0.13552360384713327
