precision,recall,f1
0.0,0.0,0.0
0.2,0.4,0.26666666666666666
0.1,1.0,0.18181818181818182
0.0,0.0,0.0
0.2,1.0,0.33333333333333337
0.2,0.6666666666666666,0.30769230769230765
0.1,0.3333333333333333,0.15384615384615383
0.1,0.25,0.14285714285714288
0.0,0.0,0.0
0.0,0.0,0.0
0.2,1.0,0.33333333333333337
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.5,0.16666666666666669
0.2,0.5,0.28571428571428575
0.0,0.0,0.0
0.1,0.3333333333333333,0.15384615384615383
0.1,1.0,0.18181818181818182
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.5,0.16666666666666669
0.1,1.0,0.18181818181818182
0.0,0.0,0.0
0.1,0.5,0.16666666666666669
0.0,0.0,0.0
0.5,0.8333333333333334,0.625
0.1,1.0,0.18181818181818182
0.1,0.5,0.16666666666666669
0.1,1.0,0.18181818181818182
0.1,0.14285714285714285,0.11764705882352941
0.1,0.2,0.13333333333333333
0.0,0.0,0.0
0.1,0.5,0.16666666666666669
0.0,0.0,0.0
0.2,1.0,0.33333333333333337
0.0,0.0,0.0
0.0,0.0,0.0
0.2,0.25,0.22222222222222224
0.0,0.0,0.0
0.1,1.0,0.18181818181818182
0.3,1.0,0.4615384615384615
0.1,0.5,0.16666666666666669
0.0,0.0,0.0
0.1,0.1,0.10000000000000002
0.0,0.0,0.0
0.1,1.0,0.18181818181818182
0.1,0.3333333333333333,0.15384615384615383
0.0,0.0,0.0
